ForestType,Forest,P_Water50,P_Mixed50,P_Evergreen50,P_Deciduous50,P_Development50,P_Agriculture50,P_Barren50,P_Shrub50,P_Wetland50,P_Herb50
Pine,WF,1.075269,2.867384,0,84.946237,0,0,0,0,10.035842,0
Pine,WF,2.150538,1.25448,37.275986,50.179211,0,7.526882,0,1.612903,0.358423,0
Pine,WF,4.480287,0,10.215054,67.02509,1.433692,0,0,13.082437,0,3.763441
Pine,WF,0,0,8.781362,34.408602,0,11.648746,0,41.577061,2.508961,0
Pine,WF,0,3.046595,69.892473,10.035842,0.179211,0,0,0,17.383513,0
Pine,WF,1.971326,0,1.971326,83.512545,0,0,0,1.792115,10.035842,0
Pine,WF,3.046595,0.179211,8.422939,85.304659,0,0,0,0,3.225806,0
Pine,WF,4.121864,0,0,80.46595,0,0,0,0,8.064516,7.885305
Pine,WF,0.358423,4.121864,3.942652,86.55914,0,0,0,0,4.301075,0
Pine,WF,2.150538,10.9319,58.243728,17.383513,0,0,0,0,10.394265,0
Pine,WF,0,0.716846,40.501792,57.526882,0,0,0,0,1.433692,0
Pine,WF,2.150538,7.168459,43.010753,30.645161,0,0.179211,0,0,17.383513,0
Pine,WHIP,0,0,81.362007,10.035842,0.358423,0,0,3.046595,5.376344,0
Pine,WHIP,0,3.584229,35.483871,56.810036,4.659498,0,0,0,0,0
Pine,WHIP,1.971326,2.508961,59.498208,32.97491,0,0,0,1.612903,0,1.433692
Pine,WHIP,8.960573,1.792115,50.179211,35.125448,0,0,0,1.612903,2.867384,0
Pine,WHIP,6.272401,0,66.129032,16.487455,0,0,0,1.612903,9.498208,0
Pine,WHIP,0,3.942652,0,96.057348,0,0,0,0,0,0
Pine,WHIP,4.301075,0,0,87.992832,0,0,0,0,6.09319,1.612903
Pine,WHIP,0,1.075269,28.494624,65.949821,1.792115,0,0,2.867384,0.358423,0.537634
Pine,WHIP,1.25448,1.25448,63.261649,27.419355,0,0,0,0,4.121864,2.150538
Pine,WHIP,3.405018,0,0.179211,85.663082,0,0,0,0,10.9319,0
Pine,WHIP,0,1.075269,47.132616,49.462366,0,0,0,0,1.433692,0.896057
Pine,WHIP,0,0.716846,0,98.566308,0,0,0,0,0.896057,0
Pine,WHIP,6.451613,0,0,85.304659,0,0,0,1.792115,6.09319,0
Pine,WHIP,6.09319,0,0,89.605735,0,0,0,1.792115,3.225806,0
Pine,WHIP,0,1.612903,13.261649,76.164875,0,0,0,9.498208,0,0
Pine,WHIP,0,0,3.405018,96.774194,0,0,0,0,0.896057,0
