"","Forest","choice","number_det"
"113","Whippoorwill Corners","WEASEL",2
"114","Whiskey Flats","BLACKBEAR",6
"115","Whiskey Flats","BLUEJAY",12
"116","Whiskey Flats","CHIPMUNK",23
"117","Whiskey Flats","COTTONTAILRABBIT",3
"118","Whiskey Flats","COYOTE",40
"119","Whiskey Flats","DEERWHITETAILED",389
"120","Whiskey Flats","DOMESTICDOG",2
"121","Whiskey Flats","FISHER",20
"122","Whiskey Flats","GROUSERUFFED",4
"123","Whiskey Flats","HUMAN",15
"124","Whiskey Flats","NOTHINGHERE",332
"125","Whiskey Flats","OTHERSMALLMAMMAL",1
"126","Whiskey Flats","PORCUPINE",20
"127","Whiskey Flats","RACCOON",47
"128","Whiskey Flats","SNOWSHOEHARE",2
"129","Whiskey Flats","SOMETHINGHERE",18
"130","Whiskey Flats","SQUIRRELFLYING",8
"131","Whiskey Flats","SQUIRRELGRAY",18
"132","Whiskey Flats","SQUIRRELRED",39
"133","Whiskey Flats","TURKEY",11
"134","Whiskey Flats","WEASEL",1
